title,imdb_rating
Manson Family Vacation,5.8
Manto,8.5
Mantra,5.2
Manu,7.9
Manusangada,7.9
Maps to the Stars,6.2
Mara,3.0
Marauders,4.7
Marco Polo,4.5
Maria,7.1
Marianne,5.6
Maroon,5.1
Marriage Palace,6.2
Mars,3.9
Marseille,6.5
Mary Kom,6.8
Mascots,5.7
Maska,5.9
Masoom,8.4
Master,6.8
Match,5.3
Mater,4.6
Material,7.3
Matichya Chuli,6.8
Mauli,6.0
Max Rose,6.2
May the Devil Take You,6.0
Mean Dreams,6.3
Mehandi Circus,7.4
Melvin Goes to Dinner,6.8
Men in Black,7.3
Men in Black II,6.2
Menashe,6.5
Menorca,4.4
Merantau,6.7
Mercy,6.1
Mercy Black,4.9
Mere Pyare Prime Minister,6.8
Merku Thodarchi Malai,8.5
Merlin,3.8
Mersal,7.6
Message from the King,6.4
Metro,6.5
Michael,7.1
Middle Men,6.8
Mike Epps: Don't Take It Personal,4.3
Milada,6.2
MILF,4.7
Milk,5.6
Mind Game,7.8
MindGamers,3.7
Mindhorn,6.3
Mine,6.9
Mine 9,6.8
Miracle,7.5
Miracle in Cell No. 7,7.5
Mirage,7.3
Mirai,7.0
Mirror Mirror,5.7
Mirzya,4.6
Mischief,6.6
Misfit,4.4
Miss Julie,6.2
Miss Me This Christmas,4.3
Miss Stevens,6.6
Miss Virginia,6.8
Mississippi Grind,6.4
Moh Maya Money,5.6
Mohawk,4.5
Mohenjo Daro,5.7
Mojave,5.6
Molly's Game,7.4
Mom,5.1
Mona Lisa Smile,6.5
Money,7.2
Monkey Up,3.8
Monster Family,4.8
Monster High: Friday Night Frights,6.9
Monster House,6.6
Monster Island,2.6
Monsters: Dark Continent,4.3
Moon,7.9
Moonlight,6.1
Moonwalkers,6.1
Moor,7.7
Moshe Kasher: Live in Oakland,6.8
Mosul,5.9
Mr. Chandramouli,5.1
Mr. Church,7.6
Mr. Deeds,5.8
Mr. Roosevelt,6.2
Mr. Woodcock,5.1
Mrs. Serial Killer,4.9
Mubarakan,5.5
Much Ado About Nothing,7.8
Much Loved,6.2
Mucize,7.7
Mud,7.4
Mudbound,7.4
Mugamoodi,4.9
Mujhse Shaadi Karogi,6.7
Mukhsin,7.2
Mumbai Delhi Mumbai,5.8
Mumbai Matinee,5.2
Mumbai Meri Jaan,7.7
Munafik 2,6.3
Muramba,8.0
Muran,6.4
Murder Mystery,6.0
Murder Party,5.8
Music Teacher,6.3
Must Be... Love,6.9
Mustang Island,6.2
Mute,5.4
My Amnesia Girl,6.8
My Birthday Song,5.5
My Entire High School Sinking Into the Sea,6.0
My Ex-Ex,4.4
My Friend Pinto,5.3
My Honor Was Loyalty,4.4
My Sassy Girl,8.0
My Stupid Boss,7.2
My Stupid Boss 2,6.6
My Suicide,7.1
Mystic Pizza,6.3
Mystic River,7.9
Naa Bangaaru Talli,7.1
Naam Shabana,6.3
Naan Sigappu Manithan,6.9
Nails,4.7
Namak Halaal,7.3
Nang Nak,6.5
Nasha,3.2
Nathicharami,7.1
Natural Born Pranksters,3.6
Natural Selection,5.3
Naughty Jatts,6.3
Neevevaro,6.9
Neruda,6.9
Never Heard,5.3
Newness,6.4
Next,6.2
Next Enti?,4.5
Next Gen,6.6
Nibunan,6.6
Nigerian Prince,5.6
Night Comes On,6.6
Night Moves,6.0
Nila,6.9
Ninja Assassin,6.3
Njan Prakashan,7.6
No Entry,6.6
No Game No Life: Zero,7.5
No One Killed Jessica,7.2
No Other Woman,6.3
No Tomorrow,4.0
Noblemen,5.8
Norm of the North: Family Vacation,3.1
Norm of the North: Keys to the Kingdom,3.0
Norm of the North: King Sized Adventure,3.2
Not Alone,2.5
Nothing to Lose,5.8
November Criminals,5.3
Nowhere Boy,7.1
Nowhere Man,3.7
O Silêncio do Céu,6.5
Occupation,5.0
Occupied,3.0
Ocean's Thirteen,6.9
Ocean's Twelve,6.5
Officer Downe,4.2
Offspring,4.8
Oh Darling Yeh Hai India,4.2
"Oh, Ramona!",4.9
Okja,7.3
Om Shanti Om,6.7
Once Again,7.0
Once Upon a Time,5.3
Once Upon a Time in London,5.9
Once Upon a Time in Mumbaai,7.4
Once Upon a Time in Mumbai Dobaara!,4.6
One 2 Ka 4,5.4
One by Two,4.2
One Day,7.0
One Day: Justice Delivered,5.5
One Last Thing,6.2
One More Try,6.0
One Night Stand,6.2
One on One,5.7
Only,7.0
Open Season,5.1
Opening Night,6.2
Operation Red Sea,6.7
Operator,6.0
Ordinary People,6.1
Ordinary World,5.5
Organize Isler,7.4
Other People,6.8
OtherLife,6.3
Oththa Seruppu Size 7,8.6
Ottaal,8.3
Our House,5.3
Outlawed,5.0
Outside In,6.7
Oversize Cops,6.0
Oye Lucky! Lucky Oye!,7.7
Paan Singh Tomar,8.2
Pablo,6.6
Pachamama,6.7
Paddleton,7.2
Paharganj,4.9
Paheli,6.5
Paint It Black,5.6
Palermo Hollywood,5.3
Pandigai,6.4
Pandora,7.0
Panic Room,6.8
Paper Year,5.1
Paprika,5.6
Paradise Beach,4.4
Paradise Lost,4.7
Paradox,4.5
Paranoid,4.0
Paranormal Activity,6.3
Paranormal Investigation,3.7
ParaNorman,7.0
Pardes,7.0
Pari,6.6
Parmanu: The Story of Pokhran,7.6
Patiala House,5.6
Payday,7.1
Paying Guests,4.2
Pee Mak,7.3
Pekak,6.3
Penalty,5.6
Penelope,6.7
Penny Dreadful,4.9
People You May Know,5.5
Peppermint,6.9
Perdida,5.6
Perfect Stranger,5.7
Person of Interest,5.7
Persona,8.1
Personal Shopper,6.1
Peter Rabbit,6.6
Petta,7.2
Phamous,3.8
Phantom,4.7
Phantom Boy,6.6
Philadelphia,7.7
Phir Bhi Dil Hai Hindustani,6.2
Phir Hera Pheri,6.9
Phobia 2,6.7
Phone Swap,6.1
Phullu,6.1
Piercing,5.6
Pihu,6.7
Pimpal,7.5
Pink,3.9
Pinky Memsaab,6.5
Pitaah,6.4
Pizza,5.7
"Pizza, birra, faso",7.1
PK,8.1
"Plaire, aimer et courir vite",6.7
Planet 51,6.0
Planetarium,4.6
Platoon,8.1
Players,4.1
Playing with Fire,3.9
Point Blank,6.8
Pokémon: Mewtwo Strikes Back - Evolution,5.7
Polar,6.0
Polaroid,5.1
Porto,6.1
Poseidon,5.7
Posesif,7.3
Poshter Girl,6.8
Postcards from London,5.1
Poster Boys,5.4
Potato Potahto,4.0
Pottersville,5.3
Powder,4.3
Power Paandi,7.5
Prague,5.8
Pranaam,4.4
Premachi Goshta,7.3
Prince,4.2
Princess Cyd,6.7
Private Life,5.7
Private Lives,6.8
Professor,7.1
Professor Mack,4.3
Project Power,6.0
Prospect,6.2
Psycho,4.6
Pukar,6.0
Pulang,6.7
Pulp Fiction,8.9
Punjab 1984,8.5
Pup Star: Better 2Gether,4.8
Pup Star: World Tour,4.3
Puppy Star Christmas,4.0
Pusher,6.2
Pyaar Ka Punchnama,7.7
Pyaar Ka Punchnama 2,7.3
Pyaar Ke Side Effects,6.7
Qarib Qarib Singlle,7.1
Qila,5.2
Qismat,8.4
Quantum of Solace,6.6
Quartet,6.4
Queen,8.2
Queen of the Desert,5.7
Quicksand,4.4
R.K.Nagar,5.2
Raajneeti,7.1
Raat Akeli Hai,7.3
Race,4.5
Race 2,5.3
Radiopetti,7.3
Raees,3.8
Ragini MMS,4.9
Ragini MMS 2,3.9
Rahasya,7.6
Rainbow Jelly,7.0
Rainbow Time,5.9
Raising the Bar,5.6
Raja Hindustani,6.2
Raja Natwarlal,6.1
Rajma Chawal,5.8
Rajnigandha,7.3
Rakkhosh,4.7
Ram Jaane,5.4
Ram Teri Ganga Maili,6.7
Raman Raghav 2.0,7.4
Ramji Londonwaley,6.7
Rampage: President Down,4.8
Rang De Basanti,8.2
Rango,7.2
Rangoon,5.7
Rangreza,5.3
Rapture,3.6
Rats,3.5
Razia Sultan,6.3
Ready,7.2
Real Steel,7.1
Rebirth,4.9
Recall,2.8
Red Christmas,4.3
Redemption,3.6
Refugee,5.4
Remember,7.5
Remember Me,7.1
Rememory,6.2
Requiem,7.0
Resident Evil: Afterlife,5.8
Residue,5.4
Results,5.4
Retablo,7.6
Retribution,6.1
Revelations,7.3
Revenge,4.6
Revenge of the Green Dragons,5.3
Revenge of the Pontianak,5.2
Revenger,5.7
Revolt,5.2
Revolutionary Road,7.3
Rezeta,5.6
Riding Faith,4.2
Rim of the World,5.2
Riot,4.7
Rise of the Zombie,3.6
Road to Yesterday,6.0
Robin Hood: The Rebellion,4.2
Rock My Heart,6.5
Rock On!!,7.7
Rocky,8.1
Rocky II,7.3
Rocky III,6.8
Rocky IV,6.9
Rocky V,5.3
Rogue Warfare,2.7
Rogue Warfare: The Hunt,3.1
Roh's Beauty,3.5
Romance Doll,6.2
Romeo Akbar Walter,6.5
Romina,2.2
Room,4.4
Room for Rent,5.4
Roped,5.2
Rosario Tijeras,6.3
Rowdy Rathore,5.7
Roxanne Roxanne,6.2
Rukh,6.4
Rumble,7.1
Run,6.3
Runaway Bride,5.2
Running for Grace,6.1
Running Out Of Time,4.2
Running Shaadi,6.6
Rurouni Kenshin,7.5
Russell Madness,4.2
Russian Doll,6.0
Rust Creek,5.8
Rustom,7.1
S.W.A.T.,4.2
Saaho,5.2
Saawan,7.0
Sabrina,7.7
Sadie's Last Days on Earth,5.3
Sadma,8.4
Safe,7.2
Safety Not Guaranteed,7.0
Sahara,7.5
Saheb Biwi Aur Gangster Returns,6.8
Sairat,8.3
Salaakhen,5.4
Samantaral,7.6
Samson,6.3
Sandy Wexler,5.2
Sangam,7.5
Sanju,7.8
Santa Banta Pvt Ltd,2.9
Santa Claws,2.6
Santa Girl,5.1
Santana,3.9
Sardaarji 2,5.3
Sarkar,7.6
Sarvopari Palakkaran,5.0
Sat Shri Akaal England,5.3
Satte Pe Satta,7.2
Saturday Church,6.3
Satyagraha,5.9
Save Me,6.7
Saving Mr. Banks,7.5
Savita Damodar Paranjpe,5.9
Scales: Mermaids Are Real,4.5
Scandal,3.7
Scary Movie,4.8
Scary Movie 5,3.5
Schindler's List,8.9
School Daze,6.0
Scott Pilgrim vs. the World,7.5
Scream,2.9
Scream 2,6.2
Scream 3,5.6
Search Party,5.6
Season of the Witch,5.9
Secret Obsession,4.3
Secret Superstar,7.9
Secrets in the Hot Spring,6.1
Security,5.7
See You Yesterday,5.1
Semana Santa,4.4
Sen Kimsin?,5.1
Seoul Searching,7.0
"Septiembre, un llanto en silencio",5.7
Seriously Single,4.2
Set It Up,6.5
Settai,4.4
Seven Sundays,7.8
Sex and the City 2,4.5
Sex Doll,4.5
Sex Drive,4.8
SGT. Will Gardner,5.9
Shéhérazade,7.1
Shabd,5.1
Shadow,5.4
Shaitan,7.2
Shanghai,6.4
Shararat,4.6
She,6.1
She's Dating the Gangster,7.2
She's the One,6.4
Shelter,5.1
Sherlock Holmes,6.4
Shikari,4.5
Shimla Mirchi,4.6
Shimmer Lake,6.2
Shine Your Eyes,5.9
Shiva,8.1
Shonar Pahar,8.1
Shooter,7.2
Shootout at Lokhandwala,7.1
Shorgul,5.7
Short Term 12,8.0
Shorts,6.5
Shrek the Musical,7.0
Shubh Aarambh,6.9
Shuddhi,7.9
Shutter,7.1
Si Doel the Movie,7.1
Si Doel the Movie 2,7.0
Sicilian Ghost Story,6.4
Sigaram Thodu,6.2
Signal,6.0
Signs,6.7
Silencer,8.5
Sillu Karuppatti,8.2
Simon,6.4
Simon Killer,6.3
Sin City,8.0
Singapore,6.5
Singh Saab the Great,5.7
Singham,6.8
Single,6.8
Singularity,3.8
Sinister 2,5.3
Siren,2.6
Sister Code,4.6
Sisterakas,5.3
Sisters,3.9
Skin,6.9
Skins,3.5
Skyline,4.4
Slam,7.1
Slasher,2.5
Sleepover,5.4
Sliver,5.1
Slow West,6.9
Small Crimes,5.8
Small Soldiers,6.2
Small Town Crime,6.6
Smart People,6.1
Snow Day,5.1
Snowden,7.3
Snowpiercer,7.1
Social Animals,5.2
Sohni Mahiwal,6.2
Soldier,6.0
Solo,4.0
Solo: A Star Wars Story,6.9
Solomon Kane,6.1
Some Freaks,6.3
Someone Great,6.2
Son of a Gun,6.4
Soni,7.2
Soorma,7.4
Soul Surfer,7.0
Soul to Keep,4.3
Soundtrack,7.1
Sour Grapes,5.8
Space Cowboys,6.4
Spark,5.4
Sparkle,6.9
Sparring,6.3
Sparta,6.3
Spartacus,7.9
Special,6.9
Special Correspondents,5.8
Spectral,6.3
Speech & Debate,5.9
Spenser Confidential,6.2
SPF-18,3.2
Spider-Man 3,6.2
Spivak,5.5
Sprinter,6.1
Spy Kids,5.5
Spyder,6.6
St. Agatha,5.1
Staged Killer,3.4
Standoff,5.3
Star Trek,6.4
Star-Crossed,5.5
Stardust,4.6
Starsky & Hutch,6.1
Start-Up,6.2
Starting Over Again,7.1
Step Sisters,5.4
Stephanie,5.8
Stereo,6.5
Steve Jobs,7.2
Still,5.3
Straight Up,6.7
Strange Weather,5.9
Stree,7.6
Strike a Pose,4.7
Striptease,4.5
Stuart Little 2,5.5
Studio 54,5.9
Submission,5.6
Suburra,7.4
Sudani from Nigeria,8.2
Suffragette,6.9
Suits,4.1
Summer Night,4.7
Summertime,3.7
Sun Dogs,6.2
Sunrise,7.2
Super Dark Times,6.6
Super Deluxe,8.4
Super Nani,4.7
Superfly,5.1
Superman Returns,6.0
Supernatural,6.2
Superstar,5.7
Surga Yang Tak Dirindukan,7.8
Surga Yang Tak Dirindukan 2,7.1
Survivor,4.7
Suzzanna: Buried Alive,5.6
Svaha: The Sixth Finger,6.2
Swami,6.6
Swearnet Live,4.6
Swearnet: The Movie,5.9
Sweeney Todd: The Demon Barber of Fleet Street,6.0
Sweet Virginia,6.2
Sweetheart,5.8
Swiped,3.5
Sylvia,6.3
Taal,6.7
Tabula Rasa,7.6
Take Me,6.1
Take Me Home Tonight,6.3
Taken,5.4
Takers,6.2
Talaash,7.2
Talentime,6.8
Tall Girl,5.2
Tallulah,6.7
Tamasha,7.3
Tanda Tanya,7.1
Tango,6.1
Tanu Weds Manu,6.8
Taramani,7.5
Target,2.9
Tarzan,7.3
Tattah,4.4
Taxi Ballad,6.0
Taxi Driver,7.1
Teefa in Trouble,7.3
Teen Aur Aadha,6.7
Teen Patti,4.1
Teenage Cocktail,5.8
Tees Maar Khan,2.5
Temple,3.6
Tere Naal Love Ho Gaya,5.8
Teresa,6.5
Terminator Salvation,6.5
Terrifier,5.6
Tezz,3.9
Thaandavam,6.1
Thackeray,5.2
Thambi,6.0
Thank You,4.7
That Thing Called Tadhana,7.5
The 9th Precinct,5.5
The Adventure Club,4.9
The After Party,5.8
The Amazing Praybeyt Benjamin,4.1
The App,2.6
The Artist,7.9
The Babysitter,5.7
The Bad Batch,5.3
The Bad Education Movie,5.8
The Ballad of Lefty Brown,6.3
The Basement,4.0
The Beast Stalker,6.8
The Beat,6.0
The Binding,3.6
The Black Godfather,4.6
The Black Prince,6.6
The Black Room,4.9
The Bleeder,6.5
The Bleeding Edge,6.8
The Blue Elephant 2,8.3
The Blue Umbrella,7.5
The Body,5.4
The Body Remembers When the World Broke Open,6.8
The Box,4.9
The Boy,5.5
The Brawler,4.8
The Breaker Upperers,5.9
The Breakup Playlist,6.5
The Bridge,6.3
The Bridge Curse,5.4
The Burial of Kojo,6.4
The Bye Bye Man,4.2
The Bygone,6.1
The Cakemaker,7.2
The Call,6.7
The Calling,4.9
The Car: Road to Revenge,4.0
The Case for Christ,6.3
The Challenge,6.3
The Charnel House,4.4
The Chosen One,5.3
The Christmas Candle,6.2
The Christmas Project,5.4
The Circle,6.3
The Clapper,5.1
The Climb,6.6
The Cloverfield Paradox,5.5
The Club,6.9
The Code,6.0
The Company Men,6.7
The Competition,4.5
The Confirmation,6.4
The Congress,6.5
The Crew,3.9
The Dancer,5.8
The Danish Girl,7.1
The Dark Side of Life: Mumbai City,6.1
The Darkest Dawn,4.1
The Darkness,4.4
The Daughter,4.5
The Debt Collector,6.6
The Debt Collector 2,5.7
The Deep,6.7
The Detained,3.4
The Diabolical,4.7
The Dirt,7.0
The Disaster Artist,7.4
The Do-Over,5.7
The Doll,2.4
The Doll 2,5.4
The Drowning,4.4
The Duel,4.6
The End,5.5
The Endless,6.5
The Eyes of My Mother,6.2
The Family,4.2
The Fear,3.5
The Feels,5.1
The Fighter,6.0
The Foreigner,5.4
The Forest,3.8
The Forgotten,5.8
The Founder,7.2
The Game,3.2
The Gathering,5.6
The Ghost Bride,5.7
The Ghost Who Walks,5.2
The Golem,5.6
The Good Catholic,5.3
The Good Neighbor,6.3
The Gospel of John,7.6
The Gospel of Luke,6.8
The Gospel of Mark,7.8
The Gospel of Matthew,8.0
The Grandmaster,6.6
The Great Gambler,6.5
The Green Hornet,6.8
The Green Inferno,5.3
The Guest,6.7
The Hard Way,7.1
The Hateful Eight,7.8
The Hater,7.1
The Hatred,3.6
The Haunting of Molly Hartley,3.9
The Help,8.0
The Heretics,4.7
The History of Future Folk,7.2
The Hollow,5.5
The Hollow Point,5.4
The Homecoming,6.9
The House Next Door,4.3
The Hows of Us,7.3
The Hunt,4.4
The Impossible,7.6
The Incident,5.6
The Informant!,6.4
The Intent,4.3
The Intent 2: The Come Up,3.8
The Interview,7.1
The Invitation,4.5
The Irishman,6.4
The Iron Lady,6.4
The Island,6.8
The Journey Is the Destination,6.3
The Keeping Hours,6.3
The Killer,7.8
The King,7.8
The Kissing Booth,6.0
The Kissing Booth 2,5.9
The Land,6.4
The Land of Cards,5.8
The Last Days of American Crime,3.6
The Last Resort,3.0
The Last Summer,5.6
The Last Whistle,4.9
The Last Word,5.6
The Late Bloomer,5.2
The Legend of Bhagat Singh,8.1
The Legend of Michael Mishra,4.5
The Lift Boy,7.3
The Little Hours,5.8
The Lobster,7.2
The Long Dumb Road,6.1
The Lost Husband,6.1
The Love Affair,6.2
The Lovebirds,5.6
The Lovers,4.6
The Mansion,5.0
The Master,7.2
The Match,6.3
The Maus,4.8
The Messengers,5.4
The Method,5.0
The Meyerowitz Stories (New and Selected),6.9
The Mirror Boy,4.7
The Mist,7.1
The Mistress,6.3
The Model,5.8
The Monster,6.2
The Neighbor,5.8
The New Romantic,5.7
The Night Clerk,5.4
The Night Shift,2.4
The Oath,5.4
The Old Guard,6.7
The One I Love,7.1
The Open House,3.2
The Order,4.7
The Outpost,4.0
The Outsider,6.8
The Package,5.0
The Panti Sisters,5.9
The Pass,6.5
The Peacemaker,5.9
The Perfect Date,5.8
The Perfect Match,4.9
The Perfection,6.1
The Plan,4.5
The Promise,6.7
The Protector,4.4
The Queen,6.5
The Rain,3.8
The Rehearsal,6.5
The Reliant,3.6
The Returned,5.9
The Rezort,5.3
The Ridiculous 6,4.8
The Ring,6.1
The Ritual,3.7
The River Thief,5.3
The Rover,6.4
The Royal Bengal Tiger,6.9
The Royal Hibiscus Hotel,5.3
The Runaways,6.5
The Runner,5.6
The Salvation,6.7
The Sapphires,7.0
The Score,6.8
The Search,6.8
The Shaukeens,5.0
The Show,6.9
The Signal,6.1
The Silence,7.3
The Sky Is Pink,7.5
The Social Network,7.7
The Spectacular Now,7.1
The Spy,6.2
The Square,6.7
The Stand at Paxton County,6.3
The Stolen,5.2
The Super,5.4
The Super Parental Guardians,4.3
The Terminal,7.4
The Third Party,6.1
The Tiger Hunter,5.9
The Time Machine,6.0
The Titan,4.8
The Tourist,6.0
The Trap,6.0
The Trial,6.0
The Tribe,6.0
The Tribes of Palos Verdes,5.8
The Trip to Spain,6.6
The Truth,5.9
The Unicorn,5.1
The Unmarried Wife,6.0
The Vanished,5.5
The Vatican Tapes,4.8
The Vault,1.9
The Violin Player,6.9
The Visit,5.9
The Walking Dead,4.8
The Wandering Earth,6.0
The Warning,2.7
The Water Diviner,7.0
The Wedding Party,4.8
The Wedding Party 2: Destination Dubai,4.5
The Witch Files,4.5
The World We Make,5.2
The Worthy,5.2
The Young Messiah,5.6
The Young Offenders,7.1
The Zoya Factor,4.2
Thithi,8.2
Thong Dee Fun Khao,5.5
Thor: Ragnarok,7.9
Thottappan,7.0
Three,6.2
Thriller,6.4
Thug Life,2.5
Thumper,5.8
Tiger,5.5
Tigertail,6.4
Tikli and Laxmi Bomb,8.2
Til Death Do Us Part,4.6
Time Out,4.4
Time Please,7.1
Time Trap,6.3
Timeline,6.7
Tinker',5.2
Toc Toc,6.8
Todd Glass: Stand-Up Special,6.1
Together,5.4
Tokyo Trial,7.5
Toro,6.8
Tortilla Soup,6.7
Total Frat Movie,4.3
Tottaa Pataaka Item Maal,8.0
Tracers,5.6
Traffic Signal,6.5
Trailer Park Boys,7.9
Trailer Park Boys: Countdown to Liquor Day,7.4
Trailer Park Boys: The Movie,7.2
Train to Busan,7.6
Trainspotting,8.1
Traitor,7.0
Traitors,6.4
Tramps,6.5
Transcendence,6.3
Transformer,4.8
Trash,5.6
Trash Fire,5.8
Tremors,7.1
"Trikal (Past, Present, Future)",7.0
Trimurti,4.8
Trip to Bhangarh: Asia's Most Haunted Place,2.4
Triple Frontier,6.4
Triple Threat,5.5
Troy,7.2
Troy: The Odyssey,2.6
True to the Game,5.2
Truth or Dare,5.6
Tu Hai Mera Sunday,7.7
Tukaram,7.2
Tum Milo Toh Sahi,5.7
Turbo,6.4
Tusk,4.9
Two Graves,4.2
Two Lovers and a Bear,6.1
Twogether,4.2
U Turn,7.5
U-Turn,7.0
Udaan,4.6
Udta Punjab,7.8
Ugly,8.0
Ugly Aur Pagli,3.7
Ultraman,6.2
Ultras,5.9
Ultraviolet,5.0
Uma Maheswara Ugra Roopasya,7.9
Umrika,6.6
Una,7.3
Unbroken,7.2
Under the Eiffel Tower,5.2
Undercover,3.9
Undercover Brother 2,3.4
Undercover Grandpa,5.2
Underdogs,5.8
Unexpectedly Yours,6.8
Unfriended,5.5
Ungli,5.7
Unicorn Store,5.5
Union Leader,7.2
Unrest,5.0
Up in the Air,5.9
Up North,5.2
Upstarts,6.6
Uriyadi 2,7.2
Urvi,7.0
Us and Them,5.2
Uyare,8.0
Valentino,5.3
Vampires,6.2
Van Helsing,6.1
Vanjagar Ulagam,6.2
Varane Avashyamund,6.9
Veerappan,5.3
Veerey Ki Wedding,2.9
Velvet Buzzsaw,5.7
Verónica,5.8
Veronica,8.0
Versailles,6.8
Vettai,5.9
Victor,5.0
Viking Destiny,4.2
Villain,7.1
Vincent N Roxxy,5.5
Virsa,5.6
Vodka Diaries,5.6
VS.,5.8
W/O Ram,6.0
Waar,7.9
Waiting,6.0
Waiting...,6.8
Wake Up,2.9
Wake Up Sid,7.6
Walk. Ride. Rodeo.,6.4
Walking Out,5.8
Wanted,6.1
War,6.5
War Chhod Na Yaar,5.5
War Horse,7.2
War Machine,6.0
Warda,4.1
Warrior,4.1
Wasp Network,5.8
Watchman,5.2
Wazir,7.1
We Are Family,5.6
We Are Legends,5.1
We Are Your Friends,6.2
We Belong Together,4.7
We Summon the Darkness,5.1
Welcome,6.9
Welcome to New York,5.4
Welcome to Sajjanpur,6.9
Welcome to Willits,4.1
West Coast,5.8
Wet Hot American Summer,6.6
What Is Love?,7.0
What Keeps You Alive,5.7
What Still Remains,4.7
What the Fish,5.1
What's Your Raashee?,4.6
When Love Happens,4.9
Where's the Money,5.1
Whisky,7.1
Whispers,4.3
White Chamber,4.4
White Girl,5.7
White Island,4.3
Wild Child,6.1
Wild Oats,5.7
Wild Wild West,4.9
Wildlife,6.8
Wildling,5.5
Wine Country,5.4
Winnie,6.0
Winter of Our Dreams,6.3
Wira,6.3
Wish I Was Here,6.7
Wish Man,7.1
Withdrawn,6.4
Wolf,6.9
Wolves,5.3
Woodshock,4.3
Woody Woodpecker,4.1
Work It,6.1
World Famous Lover,4.6
World Trade Center,5.9
Would You Rather,5.7
Wrong No.,6.7
Wrong Side Raju,8.0
Wyatt Earp,6.7
X: Past Is Present,5.3
XOXO,5.3
Yaar Gaddar,3.8
Yamla Pagla Deewana 2,3.4
Yanda Kartavya Aahe,6.6
Yankee,5.8
Yeh Ballet,7.6
Yeh Hai Bakrapur,3.8
Yellowbird,5.6
Yes or No 2.5,5.3
"Yes, God, Yes",6.0
You,5.7
You Can Tutu,4.3
You Changed My Life,6.5
You Get Me,4.6
You're My Boss,6.3
Young Adult,6.2
Yucatán,5.5
Yuva,7.4
Zed Plus,6.4
Zenda,7.0
Zero,6.7
Zindagi Na Milegi Dobara,8.1
Zinzana,6.7
Zodiac,7.7
Zoo,6.8
Zoom,4.4
Zozo,6.6
Zubaan,6.2
